"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2015","101.740","101.490","102.010","100.950","","-0.74%"
"07/10/2015","102.500","101.090","102.500","100.820","","0.00%"
"07/09/2015","102.500","101.880","102.500","100.920","","0.00%"
"07/08/2015","102.500","101.750","102.500","101.140","","0.49%"
"07/07/2015","102.000","101.670","102.500","100.790","","0.13%"
"07/06/2015","101.870","102.380","102.420","100.940","","0.01%"
"07/03/2015","101.860","101.950","101.990","100.870","","0.01%"
"07/02/2015","101.850","102.000","102.320","101.080","","-0.13%"
"07/01/2015","101.980","101.910","102.010","101.190","","-0.07%"
"06/30/2015","102.050","101.180","102.320","100.930","","-0.49%"
"06/29/2015","102.550","101.950","102.800","101.610","","0.58%"
"06/26/2015","101.960","101.870","101.960","101.220","","0.07%"
"06/25/2015","101.890","101.610","101.920","101.170","","-0.55%"
"06/24/2015","102.450","101.670","102.550","101.220","","-0.05%"
"06/23/2015","102.500","101.840","102.520","101.180","","0.61%"
"06/22/2015","101.880","101.620","101.970","101.040","","-0.20%"
"06/19/2015","102.080","101.510","102.200","101.020","","0.13%"
"06/18/2015","101.950","102.600","102.640","101.430","","-0.67%"
"06/17/2015","102.640","102.940","103.010","102.050","","-0.30%"
"06/16/2015","102.950","102.330","102.950","101.990","","0.59%"
"06/15/2015","102.350","102.690","102.710","101.850","","0.00%"
"06/12/2015","102.350","102.180","102.640","101.730","","0.16%"
"06/11/2015","102.190","102.180","102.420","101.490","","-0.11%"
"06/10/2015","102.300","102.330","102.470","101.540","","-0.05%"
"06/09/2015","102.350","102.440","102.460","101.680","","-0.10%"
"06/08/2015","102.450","101.500","102.670","101.500","","0.44%"
"06/05/2015","102.005","102.420","102.425","101.500","","-0.40%"
"06/04/2015","102.410","102.540","102.830","101.870","","0.17%"
"06/03/2015","102.240","102.050","102.510","101.530","","0.12%"
"06/02/2015","102.120","101.920","102.350","101.370","","0.19%"
"06/01/2015","101.930","102.080","102.090","101.240","","-0.18%"
"05/29/2015","102.110","102.090","102.710","101.410","","0.02%"
"05/28/2015","102.090","102.370","102.380","101.490","","-0.32%"
"05/27/2015","102.420","102.480","103.150","101.740","","0.05%"
"05/26/2015","102.370","101.760","102.910","101.270","","0.65%"
"05/25/2015","101.710","101.790","101.880","101.160","","0.07%"
"05/22/2015","101.640","101.730","101.820","101.110","","-0.19%"
"05/21/2015","101.830","101.970","101.990","101.290","","-0.28%"
"05/20/2015","102.120","102.030","102.700","101.360","","0.24%"
"05/19/2015","101.880","102.060","102.100","101.170","","-0.07%"
"05/18/2015","101.950","101.520","102.470","101.030","","0.32%"
"05/15/2015","101.620","101.570","102.260","101.040","","-0.23%"
"05/14/2015","101.850","102.350","102.450","101.280","","-0.55%"
"05/13/2015","102.410","102.690","102.750","101.800","","-0.25%"
"05/12/2015","102.670","102.580","102.830","102.050","","0.49%"
"05/11/2015","102.170","102.160","102.410","101.530","","-0.14%"
"05/08/2015","102.310","102.590","103.180","101.750","","-0.46%"
"05/07/2015","102.780","102.050","103.340","101.430","","1.09%"
"05/06/2015","101.670","101.340","101.850","100.790","","0.16%"
"05/05/2015","101.510","101.660","102.240","100.910","","0.03%"
"05/04/2015","101.480","100.980","101.480","100.980","","0.00%"
"05/01/2015","101.480","100.980","101.480","100.980","","0.00%"
"04/30/2015","101.480","101.620","102.450","100.930","","0.20%"
"04/29/2015","101.280","101.150","101.410","100.530","","0.24%"
"04/28/2015","101.040","101.360","101.540","100.480","","-0.53%"
"04/27/2015","101.580","101.920","102.530","101.040","","-0.12%"
"04/24/2015","101.700","101.230","102.320","100.640","","0.38%"
"04/23/2015","101.320","100.720","101.350","100.120","","0.80%"
